title,release_date,tmdb_vote_count,tmdb_vote_average,genre_names,budget,revenue,runtime_in_min,tmdb_popularity,production_company_name,production_country_name,spoken_languages,director,writer,actors,imdb_rating,imdb_votes,metascore,age_rating,awards,rotten_tomatoes_rating,meta_critic_rating
Marry Me,2022-02-09,1019,6.7,"Romance, Comedy, Music",23000000.0,44000000.0,112.0,17.773,"Nuyorican Productions, Perfect World Pictures, Kung Fu Monkey Productions","China, United States of America",English,Kat Coiro,"John Rogers, Tami Sagher, Harper Dill","Jennifer Lopez, Owen Wilson, Maluma",6.1,"45,628",51.0,PG-13,2 wins & 4 nominations total,61.0,51.0
Death on the Nile,2022-02-09,3757,6.423,"Mystery, Crime, Thriller",90000000.0,137307235.0,127.0,33.607,"The Mark Gordon Company, Genre Films, 20th Century Studios, Scott Free Productions",United States of America,"English, French",Kenneth Branagh,"Michael Green, Agatha Christie","Tom Bateman, Annette Bening, Kenneth Branagh",6.3,"196,641",52.0,PG-13,1 win & 9 nominations total,62.0,52.0
Through My Window,2022-02-04,3190,7.377,"Romance, Drama, Comedy",,,112.0,80.476,Nostromo Pictures,Spain,Spanish,Marçal Forés,"Ariana Godoy, Eduard Sola","Clara Galle, Julio Peña, Guillermo Lasheras",5.5,"21,000",,TV-MA,,0.0,
Moonfall,2022-02-03,3188,6.3,"Science Fiction, Adventure, Action",146000000.0,67319703.0,131.0,40.084,"Centropolis Entertainment, Street Entertainment, Lionsgate, AGC Studios, Huayi Tencent Entertainment, Huayi Brothers International","Hong Kong, United Kingdom, United States of America","Mandarin, French, English",Roland Emmerich,"Roland Emmerich, Harald Kloser, Spenser Cohen","Halle Berry, Patrick Wilson, John Bradley",5.1,"104,457",41.0,PG-13,2 nominations total,35.0,41.0
The Tinder Swindler,2022-02-02,990,6.984,"Documentary, Crime",,,114.0,10.282,"AGC Studios, RAW, Gaspin Media","United Kingdom, United States of America",English,Felicity Morris,Felicity Morris,"Simon Leviev, Karan Pugal, Cecilie Fjellhøy",7.1,"74,839",,TV-MA,Nominated for 5 Primetime Emmys. 3 wins & 14 nominations total,97.0,
Superwho?,2022-02-02,500,6.359,"Comedy, Action, Family",,7375119.0,82.0,12.098,"StudioCanal, Cinéfrance Studios, BAF Prod, TF1 Films Production, TF1 Studio, Panache Productions, La Compagnie Cinématographique, Canal+, Ciné+, TF1, TMC","Belgium, France","French, Spanish",Philippe Lacheau,"Julien Arruti, Pierre Dudan, Philippe Lacheau","Philippe Lacheau, Julien Arruti, Tarek Boudali",6.2,"3,830",,,,,
Jackass Forever,2022-02-01,797,6.814,"Comedy, Documentary",10000000.0,80340218.0,96.0,16.25,"Paramount Pictures, MTV Entertainment Studios, Dickhouse Productions",United States of America,English,Jeff Tremaine,"Jason 'Wee Man' Acuña, Derrick Beckles, J.P. Blackmon","Johnny Knoxville, Steve-O, Chris Pontius",6.8,"52,982",74.0,R,3 wins & 5 nominations total,86.0,74.0
Hotel Transylvania: Transformania,2022-01-31,2815,7.1,"Animation, Comedy, Family, Adventure, Fantasy",75000000.0,18500000.0,92.0,59.878,"Sony Pictures Animation, Sony Pictures, MRC, Columbia Pictures",United States of America,English,"Derek Drymon, Jennifer Kluska","Amos Vernon, Nunzio Randazzo, Genndy Tartakovsky","Andy Samberg, Selena Gomez, Kathryn Hahn",6.0,"42,142",46.0,PG,1 win & 5 nominations total,47.0,46.0
Home Team,2022-01-28,743,6.7,"Family, Comedy, Drama",,,95.0,12.687,"Hey Eddie, Happy Madison Productions",United States of America,"Czech, English","Charles Kinnane, Daniel Kinnane","Chris Titone, Keith Blum","Kevin James, Taylor Lautner, Rob Schneider",6.0,"22,734",23.0,PG,,22.0,23.0
The Requin,2022-01-28,338,4.8,"Horror, Mystery, Thriller",8500000.0,130493.0,89.0,17.261,"Film Bridge International, Paper Street Pictures, Saban Films",United States of America,English,Le-Van Kiet,Le-Van Kiet,"Alicia Silverstone, James Tupper, Deirdre O'Connell",2.6,"7,075",,R,1 nomination total,19.0,
The Ice Age Adventures of Buck Wild,2022-01-28,1711,6.6,"Animation, Comedy, Family, Adventure",,,82.0,42.854,"Bardel Entertainment, Walt Disney Pictures","Canada, United States of America",English,"Marshall Fels Elliott, John C. Donkin","Jim Hecht, William Schifrin, Ray DeLaurentis","Utkarsh Ambudkar, Sean Kenin, Jake Green",4.3,"17,732",30.0,PG,1 win & 3 nominations total,19.0,30.0
Clean,2022-01-28,378,6.267,"Crime, Action, Drama",,,93.0,14.379,Fable House,United States of America,English,Paul Solet,"Paul Solet, Adrien Brody","Adrien Brody, Glenn Fleshler, Richie Merritt",5.6,"11,909",44.0,Not Rated,,46.0,44.0
La Abuela (The Grandmother),2022-01-28,450,5.857,"Drama, Horror",3749231.0,1817696.0,101.0,8.553,"Atresmedia, Les films du Worso, Canal+, Ciné+, Apaches Films","France, Spain","French, Spanish",Paco Plaza,Carlos Vermut,"Almudena Amor, Vera Valdez, Karina Kolokolchykova",5.9,"5,764",,R,2 wins & 6 nominations,,
Last Looks,2022-01-27,304,5.8,"Action, Crime, Thriller",,365644.0,110.0,16.572,"Romulus Entertainment, Waldo Film Productions, Metrol Technology, MadRiver International, Head Gear Films","United States of America, United Kingdom",English,Tim Kirkby,Howard Michael Gould,"Charlie Hunnam, Mel Gibson, Lucy Fry",5.8,"13,179",49.0,R,,68.0,49.0
Tom and Jerry Cowboy Up!,2022-01-24,442,6.9,"Animation, Comedy, Family, Western",,,75.0,22.368,Warner Bros. Animation,United States of America,"Portuguese, English",Darrell Van Citters,"Will Finn, William Waldner, William Hanna","George Ackles, Sean Burgos, Trevor Devall",5.2,662,,G,1 nomination total,,
My Father's Violin,2022-01-21,330,7.906,"Drama, Music",,,112.0,10.285,BKM,Turkey,Turkish,Andaç Haznedaroglu,Palaspandiras,"Engin Altan Düzyatan, Belçim Bilgin, Gülizar Nisa Uray",6.4,"4,245",,TV-14,1 win & 3 nominations total,,
Redeeming Love,2022-01-21,586,7.84,"Romance, Drama, Western",30000000.0,9500000.0,134.0,54.412,"Mission Pictures International, Advantage Entertainment, Pinnacle Peak Pictures, Nthibah Pictures","South Africa, United States of America",English,D.J. Caruso,"Francine Rivers, D.J. Caruso","Abigail Cowen, Tom Lewis, Eric Dane",6.7,"16,837",32.0,PG-13,1 win & 1 nomination total,11.0,32.0
The King's Daughter,2022-01-21,681,7.0,"Fantasy, Adventure, Family",40500000.0,2200000.0,94.0,14.605,"Firstep, Brookwell-McNamara Entertainment, Kylin Pictures, Bliss Media, Lightstream Entertainment, Ingenious Media, Gravitas Ventures, Fame Universal Entertainment, Interface Productions, Lionsgate","Australia, China, France, Hong Kong, United Kingdom, United States of America",English,Sean McNamara,"Barry Berman, James Schamus, Vonda N. McIntyre","Pierce Brosnan, Kaya Scodelario, William Hurt",5.2,"6,492",31.0,PG,1 win & 4 nominations,20.0,31.0
The Royal Treatment,2022-01-20,769,6.7,"Romance, Comedy",,,96.0,10.035,"Calabrian Rhode Productions, Focus Features",United States of America,"English, Italian",Rick Jacobson,Holly Hester,"Laura Marano, Mena Massoud, Julie Edwards",5.3,"11,883",36.0,TV-PG,2 wins total,35.0,36.0
The House,2022-01-14,1038,7.0,"Animation, Drama, Comedy, Horror, Fantasy",,,97.0,13.626,Nexus Studios,"United Kingdom, United States of America",English,"Paloma Baeza, Emma De Swaef, Niki Lindroth von Bahr","Enda Walsh, Emma De Swaef, Marc James Roels","Mia Goth, Matthew Goode, Claudie Blakley",6.8,"23,786",,TV-MA,Won 1 Primetime Emmy. 2 wins & 13 nominations total,,
Brazen,2022-01-13,372,4.79,"Thriller, Mystery, Drama",,,94.0,11.976,Mandalay Pictures,United States of America,English,Monika Mitchell,"Nora Roberts, Edithe Swensen, Donald Martin","Alyssa Milano, Sam Page, Malachi Weir",4.2,"14,056",,TV-14,2 wins & 2 nominations,14.0,
Gold,2022-01-13,592,6.2,"Action, Adventure, Thriller",6500000.0,176048.0,97.0,17.321,"Deeper Water, Rogue Star Productions, Screen Australia, Stan, South Australian Film Corporation","Australia, United States of America","English, Portuguese",Anthony Hayes,"Anthony Hayes, Polly Smyth","Zac Efron, Akuol Ngot, Thiik Biar",5.4,"13,206",48.0,R,8 nominations total,65.0,48.0
Scream,2022-01-12,3385,6.669,"Horror, Mystery",24000000.0,137743924.0,114.0,63.425,"Paramount Pictures, Project X Entertainment, Radio Silence Productions, Spyglass Media Group",United States of America,English,"Matt Bettinelli-Olpin, Tyler Gillett","James Vanderbilt, Guy Busick, Kevin Williamson","Neve Campbell, Courteney Cox, David Arquette",6.3,"169,796",60.0,R,5 wins & 22 nominations total,76.0,60.0
Project Gemini,2022-01-06,457,5.8,"Science Fiction, Horror",6000000.0,211674.0,98.0,24.265,KD Studios,Russia,"English, Russian",Serik Beyseu,"Natalya Lebedeva, Dmitriy Zhigalov","Egor Koreshkov, Alyona Konstantinova, Samoukov Kostya",3.5,"4,470",,Unrated,,,
The 355,2022-01-05,1028,6.049,"Action, Adventure, Thriller",75000000.0,55700000.0,122.0,25.843,"Freckle Films, Genre Films, FilmNation Entertainment, Universal Pictures, DEMEI Holdings Limited, CNC, Firstep, Episode Films Co., Zak Productions","France, Hong Kong, Morocco, Taiwan, United States of America","German, English, Arabic, Spanish, Mandarin, French",Simon Kinberg,"Theresa Rebeck, Simon Kinberg","Jessica Chastain, Penélope Cruz, Bingbing Fan",5.6,"40,061",40.0,PG-13,3 wins & 3 nominations total,24.0,40.0
Harry Potter 20th Anniversary: Return to Hogwarts,2022-01-01,3369,7.306,Documentary,,,103.0,36.171,"Pulse Films, Warner Horizon Unscripted Television, Casey Patterson Entertainment","United Kingdom, United States of America",English,"Casey Patterson, Joe Pearlman, Eran Creevy",,"Ralph Fiennes, Gary Oldman, Jason Isaacs",8.0,"48,481",,TV-PG,Nominated for 2 Primetime Emmys. 8 nominations total,93.0,
Munich – The Edge of War,2021-12-31,576,6.9,"Drama, History",,,130.0,10.898,"Turbine Studios, FremantleMedia, Euston Films, Turbine Studios","Germany, United Kingdom","English, French, German, Italian",Christian Schwochow,"Ben Power, Robert Harris","George MacKay, Jannis Niewöhner, Jeremy Irons",6.8,"37,215",53.0,PG-13,1 win & 2 nominations total,84.0,53.0
7 Women and a Murder,2021-12-25,358,5.5,"Comedy, Mystery, Crime",,,84.0,10.101,"Wildside, Warner Bros. Entertainment Italia",Italy,"Italian, French",Alessandro Genovesi,"Alessandro Genovesi, Lisa Nur Sultan","Margherita Buy, Diana Del Bufalo, Sabrina Impacciatore",5.4,"6,559",,TV-MA,1 nomination,60.0,
American Underdog,2021-12-25,362,7.117,"Drama, Family",25000000.0,26514814.0,112.0,13.951,"Lionsgate, City on a Hill Productions, Kingdom Story Company",United States of America,English,"Andrew Erwin, Jon Erwin","Kurt Warner, Michael Silver, Jon Erwin","Zachary Levi, Anna Paquin, Hayden Zaller",7.1,"25,229",53.0,PG,,75.0,53.0
Jujutsu Kaisen 0,2021-12-24,1451,8.1,"Animation, Action, Fantasy",,195870885.0,105.0,44.811,"MAPPA, Shueisha, Sumzap, MBS, TOHO",Japan,Japanese,Sunghoo Park,"Gege Akutami, Hiroshi Seko","Megumi Ogata, Kana Hanazawa, Yûichi Nakamura",7.8,"46,245",71.0,PG-13,1 win & 2 nominations total,98.0,71.0
The King's Man,2021-12-22,4616,6.8,"Action, Adventure, Thriller",100000000.0,125897478.0,131.0,53.65,"Marv, Cloudy Productions, 20th Century Studios","United Kingdom, United States of America",English,Matthew Vaughn,"Matthew Vaughn, Karl Gajdusek, Mark Millar","Ralph Fiennes, Gemma Arterton, Rhys Ifans",6.3,"184,032",44.0,R,1 win & 4 nominations total,41.0,44.0
Serial (Bad) Weddings 3,2021-12-21,382,6.3,"Romance, Comedy",22000000.0,27832384.0,97.0,12.486,"UGC, Orange Studio",France,French,Philippe de Chauveron,"Guy Laurent, Philippe de Chauveron","Christian Clavier, Chantal Lauby, Ary Abittan",6.1,"4,238",,,,,
Fortress,2021-12-17,338,5.7,"Action, Thriller, Crime",20000000.0,52169.0,100.0,15.827,"EFO Films, Grindstone Entertainment Group, Verdi Productions",United States of America,English,James Cullen Bressack,"Alan Horsnail, Emile Hirsch, Randall Emmett","Jesse Metcalfe, Bruce Willis, Chad Michael Murray",3.3,"5,859",,R,5 wins & 1 nomination total,20.0,
Swan Song,2021-12-17,520,7.2,"Drama, Science Fiction",,,112.0,11.35,"Anonymous Content, Know Wonder, Apple Studios",United States of America,"English, French",Benjamin Cleary,Benjamin Cleary,"Mahershala Ali, Naomie Harris, Awkwafina",6.8,"18,229",66.0,R,Nominated for 1 BAFTA Award2 wins & 12 nominations total,80.0,66.0
Mother/Android,2021-12-17,763,5.8,"Science Fiction, Thriller",,,111.0,17.126,"Miramax, 6th & Idaho Motion Picture Company",United States of America,English,Mattson Tomlin,Mattson Tomlin,"Chloë Grace Moretz, Algee Smith, Raúl Castillo",4.9,"21,658",43.0,R,,32.0,43.0
The Tender Bar,2021-12-17,549,6.625,Drama,,,104.0,9.104,"Amazon Studios, Smoke House Pictures, Grand Illusion Films",United States of America,"English, Russian",George Clooney,"William Monahan, J.R. Moehringer","Ben Affleck, Tye Sheridan, Daniel Ranieri",6.7,"35,107",53.0,R,1 win & 9 nominations,51.0,53.0
South Park: Post COVID: The Return of COVID,2021-12-16,419,7.37,"Animation, Comedy, TV Movie",,,62.0,18.115,MTV Entertainment Studios,United States of America,English,Trey Parker,"Brian Graden, Trey Parker, Matt Stone","Trey Parker, Matt Stone, April Stewart",7.5,"8,251",,TV-MA,,,
The Matrix Resurrections,2021-12-16,5855,6.4,"Science Fiction, Action, Adventure",190000000.0,156497322.0,147.0,59.058,"Warner Bros. Pictures, Village Roadshow Pictures, Venus Castina Productions",United States of America,English,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksandar Hemon","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II",5.6,"289,099",63.0,R,Nominated for 1 BAFTA Award6 wins & 37 nominations total,63.0,63.0
Diabolik,2021-12-16,587,6.0,"Crime, Action, Mystery, Thriller",11000000.0,3189418.0,133.0,16.871,"Mompracem, RAI, Astorina S.A.C.",Italy,"French, Italian","Antonio Manetti, Marco Manetti","Angela Giussani, Luciana Giussani, Antonio Manetti","Luca Marinelli, Miriam Leone, Valerio Mastandrea",5.9,"4,086",,,3 wins & 18 nominations,,
Vicky and Her Mystery,2021-12-15,497,7.1,"Adventure, Family, Drama",6500000.0,4181043.0,84.0,9.511,"Radar Films, Gaumont, Solar Entertainment, Auvergne-Rhône-Alpes Cinéma",France,French,Denis Imbert,"Rémi Sappe, Mathieu Oullion, Denis Imbert","Vincent Elbaz, Shanna Keil, Marie Gillain",6.3,"2,844",,TV-PG,,,
A Hero,2021-12-15,331,7.3,Drama,,,127.0,7.001,"Memento Films Production, Memento Films International, Asghar Farhadi Productions, ARTE France Cinéma","France, Iran",Persian,Asghar Farhadi,Asghar Farhadi,"Amir Jadidi, Mohsen Tanabandeh, Sahar Goldoost",7.5,"30,900",82.0,PG-13,18 wins & 42 nominations total,97.0,82.0
Spider-Man: No Way Home,2021-12-15,20511,7.949,"Action, Adventure, Science Fiction",200000000.0,1921847111.0,148.0,182.787,"Marvel Studios, Pascal Pictures, Columbia Pictures",United States of America,"English, Tagalog",Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Zendaya, Benedict Cumberbatch",8.2,"931,409",71.0,PG-13,Nominated for 1 Oscar. 35 wins & 71 nominations total,93.0,71.0
The Lost Daughter,2021-12-15,986,6.498,Drama,5000000.0,703281.0,121.0,11.648,"Endeavor Content, Samuel Marshall Productions, Media Finance Capital, Faliro House Productions, Pie Films","Greece, Israel, United Kingdom, United States of America","Greek, English, Italian",Maggie Gyllenhaal,"Maggie Gyllenhaal, Elena Ferrante","Olivia Colman, Jessie Buckley, Dakota Johnson",6.7,"77,449",86.0,R,Nominated for 3 Oscars. 41 wins & 114 nominations total,94.0,86.0
Anonymously Yours,2021-12-10,361,7.6,"Drama, Romance",,,101.0,9.569,Woo Films,Mexico,Spanish,Maria Torres,"Alexandro Aldrete, Daniela Gómez, Maria Torres","Annie Cabello, Harold Azuara, Estefi Merelles",5.8,"2,502",,,,,
Red Rocket,2021-12-10,505,6.783,"Drama, Comedy",1100000.0,2200000.0,130.0,12.147,"FilmNation Entertainment, Cre Film",United States of America,English,Sean Baker,"Sean Baker, Chris Bergoch","Simon Rex, Bree Elrod, Suzanna Son",7.1,"36,975",76.0,R,12 wins & 37 nominations total,90.0,76.0
Being the Ricardos,2021-12-10,638,6.5,"Drama, History",,,132.0,9.735,"Amazon Studios, Big Indie Pictures, Escape Artists",United States of America,"English, Spanish",Aaron Sorkin,Aaron Sorkin,"Nicole Kidman, Javier Bardem, J.K. Simmons",6.5,"45,626",60.0,R,Nominated for 3 Oscars. 13 wins & 60 nominations total,68.0,60.0
The Hating Game,2021-12-09,1077,7.316,"Drama, Comedy, Romance",,,102.0,29.169,"BCDF Pictures, Convergent Media, Big Indie Pictures, Federal Films, Mister Smith Entertainment, Vertical Entertainment","United Kingdom, United States of America",English,Peter Hutchings,"Christina Mengert, Sally Thorne","Lucy Hale, Austin Stowell, Damon Daunno",6.2,"29,190",,R,2 nominations,69.0,
Don't Look Up,2021-12-08,8416,7.075,"Comedy, Science Fiction, Drama",75000000.0,791863.0,138.0,53.178,Hyperobject Industries,United States of America,English,Adam McKay,"Adam McKay, David Sirota","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep",7.2,"630,572",49.0,R,Nominated for 4 Oscars. 24 wins & 99 nominations total,,49.0
West Side Story,2021-12-08,1584,6.985,"Drama, Romance, Crime",100000000.0,76016171.0,156.0,17.652,"20th Century Studios, Amblin Entertainment, TSG Entertainment",United States of America,"English, Spanish",Steven Spielberg,"Tony Kushner, Arthur Laurents","Ansel Elgort, Rachel Zegler, Ariana DeBose",7.1,"98,656",85.0,PG-13,Won 1 Oscar. 74 wins & 301 nominations total,91.0,85.0
The Tragedy of Macbeth,2021-12-05,767,6.919,"Drama, War",,176248.0,105.0,15.903,"IAC Films, A24",United States of America,English,Joel Coen,"Joel Coen, William Shakespeare","Denzel Washington, Frances McDormand, Alex Hassell",7.1,"41,187",87.0,R,Nominated for 3 Oscars. 20 wins & 114 nominations total,92.0,87.0
Back to the Outback,2021-12-03,731,7.707,"Family, Animation, Adventure, Comedy",,,92.0,21.156,Netflix,United States of America,English,"Harry Cripps, Clare Knight","Harry Cripps, Gregory Lessans, Charlie Bryant","Eric Bana, Tim Minchin, Miranda Tapsell",6.5,"11,054",58.0,PG,1 win,81.0,58.0
Encounter,2021-12-03,430,6.3,"Science Fiction, Mystery, Thriller, Drama",,,108.0,10.136,"Amazon Studios, RAW, Film4 Productions, Automatik Entertainment, Big Indie Pictures","United Kingdom, United States of America",English,Michael Pearce,"Joe Barton, Michael Pearce","Riz Ahmed, Octavia Spencer, Lucian-River Chauhan",5.9,"11,175",57.0,R,5 nominations,55.0,57.0
Silent Night,2021-12-03,505,5.966,"Comedy, Science Fiction, Horror",,438825.0,92.0,13.736,"Marv, Maven Screen Media, Endeavor Content, Cloudy",United Kingdom,English,Camille Griffin,Camille Griffin,"Keira Knightley, Matthew Goode, Roman Griffin Davis",5.8,"20,822",52.0,Not Rated,4 wins & 2 nominations,66.0,52.0
Single All the Way,2021-12-02,394,6.434,"Romance, Comedy",,,99.0,8.665,Muse Entertainment,"Canada, United States of America",English,Michael Mayer,Chad Hodge,"Michael Urie, Philemon Chambers, Luke Macfarlane",6.2,"19,983",49.0,TV-PG,1 win & 2 nominations,70.0,49.0
Diary of a Wimpy Kid,2021-12-02,353,6.2,"Animation, Comedy, Family",,,58.0,14.924,"Walt Disney Pictures, Bardel Entertainment","Canada, United States of America",English,"Gino Nichele, Swinton O. Scott III",Jeff Kinney,"Cyrus Arnold, Braxton Baker, Erica Cerra",5.1,"4,491",50.0,PG,1 nomination total,75.0,50.0
Nightmare Alley,2021-12-02,2972,6.982,"Crime, Drama, Thriller",60000000.0,39629195.0,150.0,21.05,"Searchlight Pictures, Double Dare You",United States of America,English,Guillermo del Toro,"Guillermo del Toro, Kim Morgan, William Lindsay Gresham","Bradley Cooper, Cate Blanchett, Toni Collette",7.0,"172,427",70.0,R,Nominated for 4 Oscars. 29 wins & 121 nominations total,80.0,70.0
The Advent Calendar,2021-12-01,363,6.664,"Horror, Thriller, Drama",,456555.0,104.0,13.87,"Sombrero Films, Siddhi Films, Frakas Productions, ZED, RTBF, VOO, BeTV","Belgium, France",French,Patrick Ridremont,Patrick Ridremont,"Eugénie Derouand, Honorine Magnier, Clément Olivieri",6.3,"6,809",51.0,,,,51.0
Sing 2,2021-12-01,4449,7.9,"Animation, Family, Music, Comedy",85000000.0,408402685.0,110.0,68.267,"Universal Pictures, Illumination",United States of America,English,"Garth Jennings, Christophe Lourdelet",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson",7.3,"93,461",49.0,PG,2 wins & 21 nominations total,72.0,49.0
Megaboa,2021-11-26,463,6.3,"Action, Horror, Science Fiction",,,100.0,21.14,"The Asylum, Emerald City Films",United States of America,"Spanish, English",Mario N. Bonassin,Alex Heerman,"Eric Roberts, Michelle Elizabeth O'Shea, Emilia Torello",2.7,532,,TV-14,,,
